Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
004-000-00260,Houjicha Importado,gr,"  16.095,00 ",  -   ,"  50,00 ","  16.045,00 ","  642,00 ","  16.699,00 ",  -   ,  -   ,"  17.341,00 ","  -1.296,00 ",SOBRANTE
004-000-00261,Blue Matcha Importado,gr,"  15.000,00 ",  -   ,"  1.599,00 ","  13.401,00 ","  2.371,00 ","  15.000,00 ",  -   ,  -   ,"  17.371,00 ","  -3.970,00 ",SOBRANTE
004-000-00262,Butterfly Pea Importado,gr,"  33.514,00 ",  -   ,"  5.042,00 ","  28.472,00 ",  -   ,"  33.089,00 ",  -   ,  -   ,"  33.089,00 ","  -4.617,00 ",SOBRANTE
004-000-00263,Puerh Importado,gr,"  5.857,00 ",  -   ,  -   ,"  5.857,00 ","  4.949,00 ",  -   ,  -   ,  -   ,"  4.949,00 ","  908,00 ",FALTANTE
004-000-00264,Taro Importado,gr,"  3.366,00 ","  35.000,00 ","  862,56 ","  37.503,44 ","  2.969,00 ","  37.000,00 ",  -   ,  -   ,"  39.969,00 ","  -2.465,56 ",SOBRANTE
004-000-00265,Remolacha En Polvo Importada,gr,  -   ,"  60.000,00 ","  1.568,00 ","  58.432,00 ","  564,00 ","  32.000,00 ",  -   ,  -   ,"  32.564,00 ","  25.868,00 ",FALTANTE
004-000-00266,Fresa En Polvo Importada,gr,"  3.057,00 ","  45.000,00 ","  955,00 ","  47.102,00 ","  2.128,00 ","  47.000,00 ",  -   ,  -   ,"  49.128,00 ","  -2.026,00 ",SOBRANTE
004-000-00267,Papa Morada En Polvo Importada,gr,"  2.690,00 ","  15.000,00 ","  124,00 ","  17.566,00 ","  2.588,00 ",  -   ,  -   ,  -   ,"  2.588,00 ","  14.978,00 ",FALTANTE
004-000-00268,Piatahaya En Polvo Importada,gr,"  357,00 ","  40.000,00 ","  387,00 ","  39.970,00 ","  1.000,00 ","  39.000,00 ",  -   ,  -   ,"  40.000,00 ","  -30,00 ",SOBRANTE
004-000-00269,Mora En Polvo Importada,gr,"  3.148,00 ","  20.000,00 ","  418,00 ","  22.730,00 ","  2.776,00 ",  -   ,  -   ,  -   ,"  2.776,00 ","  19.954,00 ",FALTANTE
004-000-00272,Miel Encapsulado Aditmaq,gr,"  2.474,00 ",  -   ,  -   ,"  2.474,00 ",  -   ,"  2.611,50 ",  -   ,  -   ,"  2.611,50 ","  -137,50 ",SOBRANTE
004-000-00273,Vainilla En Polvo Aditmaq,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00275,Chai Aditmaq,gr,  -   ,"  20.000,00 ","  2.884,00 ","  17.116,00 ",  -   ,"  17.000,00 ",  -   ,  -   ,"  17.000,00 ","  116,00 ",FALTANTE
004-000-00276,Limon Encapsulado Aditmaq,gr,"  12.175,00 ",  -   ,"  4.970,00 ","  7.205,00 ",  -   ,"  9.257,00 ",  -   ,  -   ,"  9.257,00 ","  -2.052,00 ",SOBRANTE
004-000-00277,Hierbaluisa Aylluorganic,gr,"  5.915,00 ","  10.000,00 ","  5.197,00 ","  10.718,00 ","  10.000,00 ",  -   ,  -   ,  -   ,"  10.000,00 ","  718,00 ",FALTANTE
004-000-00278,Purpurina Plateada Garcia Reinoso,gr,"  102,00 ",  -   ,"  5,00 ","  97,00 ","  92,00 ",  -   ,  -   ,  -   ,"  92,00 ","  5,00 ",FALTANTE
004-000-00279,Te Verde (Al Granel)Ichiban,gr,"  306,00 ",  -   ,  -   ,"  306,00 ","  306,00 ",  -   ,  -   ,  -   ,"  306,00 ",  -   ,SIN DIFERENCIA
004-000-00280,Te Verde Bitaco,gr,"  3.448,00 ",  -   ,  -   ,"  3.448,00 ","  3.478,00 ",  -   ,  -   ,  -   ,"  3.478,00 ","  -30,00 ",SOBRANTE
004-000-00281,Cafe,gr,"  237,00 ",  -   ,  -   ,"  237,00 ","  237,00 ",  -   ,  -   ,  -   ,"  237,00 ",  -   ,SIN DIFERENCIA
004-000-00282,Cacao En Polvo Republica,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00284,Menta Pilar Lopez,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00285,Te Negro Pilar Lopez,gr,"  80,00 ",  -   ,  -   ,"  80,00 ","  80,00 ",  -   ,  -   ,  -   ,"  80,00 ",  -   ,SIN DIFERENCIA
004-000-00286,Hongos Pilar Lopez,gr,"  235,00 ",  -   ,  -   ,"  235,00 ","  235,00 ",  -   ,  -   ,  -   ,"  235,00 ",  -   ,SIN DIFERENCIA
004-000-00287,Anis Pilar Lopez,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00288,Azucar Impalpable Pilar Lopez,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00289,Cascarilla De Cacao Arawi,gr,"  2.535,00 ",  -   ,  -   ,"  2.535,00 ","  2.535,00 ",  -   ,  -   ,  -   ,"  2.535,00 ",  -   ,SIN DIFERENCIA
004-000-00290,Nibs Cacao Arawi,gr,"  2.953,00 ",  -   ,"  753,00 ","  2.200,00 ","  2.200,00 ",  -   ,  -   ,  -   ,"  2.200,00 ",  -   ,SIN DIFERENCIA
004-000-00291,Pitahaya Liofilizada,gr,"  1.773,00 ",  -   ,"  3.602,76 ","  -1.829,76 ","  2.065,00 ",  -   ,  -   ,  -   ,"  2.065,00 ","  -3.894,76 ",SOBRANTE
004-000-00292,Salvia Carlosama,gr,"  841,00 ",  -   ,  -   ,"  841,00 ","  841,00 ",  -   ,  -   ,  -   ,"  841,00 ",  -   ,SIN DIFERENCIA
004-000-00293,Valeriana Carlosama,gr,"  980,00 ",  -   ,  -   ,"  980,00 ","  980,00 ",  -   ,  -   ,  -   ,"  980,00 ",  -   ,SIN DIFERENCIA
004-000-00294,Tomillo Carlosama,gr,"  726,00 ",  -   ,  -   ,"  726,00 ","  726,00 ",  -   ,  -   ,  -   ,"  726,00 ",  -   ,SIN DIFERENCIA
004-000-00295,Romero Carlosama,gr,"  184,00 ",  -   ,"  50,00 ","  134,00 ","  123,00 ",  -   ,  -   ,  -   ,"  123,00 ","  11,00 ",FALTANTE
004-000-00296,Hinojo Carlosama,gr,"  843,00 ",  -   ,  -   ,"  843,00 ","  849,00 ",  -   ,  -   ,  -   ,"  849,00 ","  -6,00 ",SOBRANTE
004-000-00297,Mate Carlosama,gr,"  249,00 ",  -   ,  -   ,"  249,00 ","  234,00 ",  -   ,  -   ,  -   ,"  234,00 ","  15,00 ",FALTANTE
004-000-00298,Cardamomo Carlosama,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00299,Anis Estrellado Carlosama,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00300,Stevia Carlosama,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00301,Extracto Te Negro Dirico,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00302,Extracto Te Negro Adiqmat,gr,"  25.741,00 ",  -   ,"  5.694,00 ","  20.047,00 ",  -   ,"  19.237,00 ",  -   ,  -   ,"  19.237,00 ","  810,00 ",FALTANTE
004-000-00303,Fosfato Tricalcio,gr,"  3.564,00 ",  -   ,"  698,00 ","  2.866,00 ","  2.919,00 ",  -   ,  -   ,  -   ,"  2.919,00 ","  -53,00 ",SOBRANTE
004-000-00304,Nuez Moscada Mc Cormick,gr,"  778,00 ",  -   ,  -   ,"  778,00 ","  775,00 ",  -   ,  -   ,  -   ,"  775,00 ","  3,00 ",FALTANTE
004-000-00305,Matcha Culinario Ibd (Terraferti),gr,  -   ,  -   ,  -   ,  -   ,"  88,00 ",  -   ,  -   ,  -   ,"  88,00 ","  -88,00 ",SOBRANTE
004-000-00306,Calendula Aromas Y Especies,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00307,Maqui Berry Importado,gr,"  2.772,00 ",  -   ,  -   ,"  2.772,00 ",  -   ,"  2.772,00 ",  -   ,  -   ,"  2.772,00 ",  -   ,SIN DIFERENCIA
004-000-00308,Acay Berry,gr,"  2.829,00 ",  -   ,  -   ,"  2.829,00 ",  -   ,"  2.829,00 ",  -   ,  -   ,"  2.829,00 ",  -   ,SIN DIFERENCIA
004-000-00309,Frambuesa,gr,"  2.850,00 ",  -   ,  -   ,"  2.850,00 ",  -   ,"  2.924,00 ",  -   ,  -   ,"  2.924,00 ","  -74,00 ",SOBRANTE
004-000-00310,Saborizante Algodon De Azucar,gr,"  423,00 ",  -   ,  -   ,"  423,00 ","  349,00 ",  -   ,  -   ,  -   ,"  349,00 ","  74,00 ",FALTANTE
004-000-00311,Saborizante Pera,gr,"  309,00 ",  -   ,  -   ,"  309,00 ","  308,00 ",  -   ,  -   ,  -   ,"  308,00 ","  1,00 ",FALTANTE
004-000-00312,Saborizante Capuccino,gr,"  179,00 ",  -   ,  -   ,"  179,00 ","  179,00 ",  -   ,  -   ,  -   ,"  179,00 ",  -   ,SIN DIFERENCIA
004-000-00313,Saborizante Rosas,gr,"  11.132,00 ",  -   ,"  140,00 ","  10.992,00 ","  4.186,00 ",  -   ,  -   ,"  6.304,00 ","  10.490,00 ","  502,00 ",FALTANTE
004-000-00314,Saborizante Rosas En Polvo,gr,"  114,00 ",  -   ,"  30,00 ","  84,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  84,00 ",FALTANTE
004-000-00315,Saborizante Canela En Polvo,gr,"  372,00 ",  -   ,  -   ,"  372,00 ",  -   ,  -   ,  -   ,"  373,00 ","  373,00 ","  -1,00 ",SOBRANTE
004-000-00316,Saborizante Uva,gr,"  563,00 ",  -   ,  -   ,"  563,00 ","  617,00 ",  -   ,  -   ,  -   ,"  617,00 ","  -54,00 ",SOBRANTE
004-000-00317,Saborizante Azar,gr,"  900,00 ",  -   ,"  65,00 ","  835,00 ","  836,00 ",  -   ,  -   ,  -   ,"  836,00 ","  -1,00 ",SOBRANTE
004-000-00319,Saborizante Chai Magic Flavors,gr,"  2.298,00 ",  -   ,  -   ,"  2.298,00 ","  2.299,00 ",  -   ,  -   ,  -   ,"  2.299,00 ","  -1,00 ",SOBRANTE
004-000-00320,Saborizante Humo,gr,"  476,00 ",  -   ,"  76,00 ","  400,00 ","  400,00 ",  -   ,  -   ,  -   ,"  400,00 ",  -   ,SIN DIFERENCIA
004-000-00321,Saborizante Toronja,gr,"  3.472,00 ",  -   ,  -   ,"  3.472,00 ","  313,00 ",  -   ,  -   ,"  510,00 ","  823,00 ","  2.649,00 ",FALTANTE
004-000-00322,Saborizante Mandarina,gr,"  5.052,00 ",  -   ,  -   ,"  5.052,00 ","  3.892,00 ",  -   ,"  1.899,00 ",  -   ,"  5.791,00 ","  -739,00 ",SOBRANTE
004-000-00323,Saborizante Limon,gr,"  3.169,00 ",  -   ,"  3.199,00 ","  -30,00 ","  238,00 ",  -   ,  -   ,"  2.985,00 ","  3.223,00 ","  -3.253,00 ",SOBRANTE
004-000-00324,Saborizante Fruit Ponch,gr,"  4.426,00 ",  -   ,  -   ,"  4.426,00 ","  1.274,00 ",  -   ,  -   ,"  3.149,00 ","  4.423,00 ","  3,00 ",FALTANTE
004-000-00325,Saborizante Advance Natural,gr,"  7.854,00 ","  10.000,00 ","  6.960,00 ","  10.894,00 ","  11.103,00 ",  -   ,  -   ,  -   ,"  11.103,00 ","  -209,00 ",SOBRANTE
004-000-00326,Saborizante Almendras,gr,"  902,00 ",  -   ,  -   ,"  902,00 ","  902,00 ",  -   ,  -   ,  -   ,"  902,00 ",  -   ,SIN DIFERENCIA
004-000-00327,Saborizante Arandano,gr,"  13.687,00 ",  -   ,"  676,00 ","  13.011,00 ","  4.494,00 ",  -   ,"  2.241,00 ","  6.310,00 ","  13.045,00 ","  -34,00 ",SOBRANTE
004-000-00328,Saborizante Arandano En Polvo,gr,"  8.854,00 ",  -   ,"  1.247,50 ","  7.606,50 ",  -   ,"  7.435,00 ",  -   ,  -   ,"  7.435,00 ","  171,50 ",FALTANTE
004-000-00329,Saborizante Arequipe,gr,"  200,00 ",  -   ,  -   ,"  200,00 ","  197,00 ",  -   ,  -   ,  -   ,"  197,00 ","  3,00 ",FALTANTE
004-000-00330,Saborizante Bergamota Florarom,gr,"  274,00 ","  1.000,00 ","  101,00 ","  1.173,00 ",  -   ,  -   ,  -   ,"  1.117,00 ","  1.117,00 ","  56,00 ",FALTANTE
004-000-00331,Saborizante Bergamota Magic,gr,"  1.848,00 ",  -   ,"  23,00 ","  1.825,00 ","  1.709,00 ",  -   ,  -   ,  -   ,"  1.709,00 ","  116,00 ",FALTANTE
004-000-00332,Saborizante Durazno,gr,"  7.797,00 ",  -   ,  -   ,"  7.797,00 ","  2.879,00 ",  -   ,  -   ,"  3.150,00 ","  6.029,00 ","  1.768,00 ",FALTANTE
004-000-00333,Saborizante Fresa Acida,gr,"  5.773,00 ","  6.000,00 ","  2.288,00 ","  9.485,00 ","  2.601,00 ",  -   ,"  576,00 ","  6.328,00 ","  9.505,00 ","  -20,00 ",SOBRANTE
004-000-00334,Saborizante Fresa Candy,gr,"  1.650,00 ",  -   ,  -   ,"  1.650,00 ","  1.654,00 ",  -   ,  -   ,  -   ,"  1.654,00 ","  -4,00 ",SOBRANTE
004-000-00335,Saborizante Fresa Natural,gr,"  9.692,00 ",  -   ,"  674,00 ","  9.018,00 ","  2.906,00 ",  -   ,  -   ,  -   ,"  2.906,00 ","  6.112,00 ",FALTANTE
004-000-00337,Saborizante Durazno En Polvo,gr,"  542,00 ",  -   ,"  9,00 ","  533,00 ",  -   ,  -   ,  -   ,"  519,00 ","  519,00 ","  14,00 ",FALTANTE
004-000-00338,Saborizante Frutales Emd,gr,"  148,00 ","  1.000,00 ","  333,00 ","  815,00 ","  967,00 ",  -   ,  -   ,  -   ,"  967,00 ","  -152,00 ",SOBRANTE
004-000-00339,Saborizante Frutos Rojos Polvo Adiqmat,gr,"  2.979,00 ",  -   ,"  354,00 ","  2.625,00 ",  -   ,"  2.756,50 ",  -   ,  -   ,"  2.756,50 ","  -131,50 ",SOBRANTE
004-000-00341,Saborizante Mango En Polvo,gr,"  1.235,00 ",  -   ,"  86,00 ","  1.149,00 ",  -   ,  -   ,  -   ,"  1.143,00 ","  1.143,00 ","  6,00 ",FALTANTE
004-000-00342,Saborizante Frutos Del Bosque,gr,"  1.007,00 ",  -   ,  -   ,"  1.007,00 ","  1.008,00 ",  -   ,  -   ,  -   ,"  1.008,00 ","  -1,00 ",SOBRANTE
004-000-00343,Saborizante Frutos Rojos,gr,"  611,00 ",  -   ,"  9,50 ","  601,50 ","  603,00 ",  -   ,  -   ,  -   ,"  603,00 ","  -1,50 ",SOBRANTE
004-000-00344,Saborizante Frutos Rojos Polvo,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00345,Saborizante Ciruela,gr,"  277,00 ",  -   ,  -   ,"  277,00 ","  277,00 ",  -   ,  -   ,  -   ,"  277,00 ",  -   ,SIN DIFERENCIA
004-000-00346,Saborizante Pepino,gr,"  638,00 ",  -   ,  -   ,"  638,00 ","  628,00 ",  -   ,  -   ,  -   ,"  628,00 ","  10,00 ",FALTANTE
004-000-00347,Saborizante Frutos Tropicales,gr,"  2.928,00 ","  3.000,00 ","  1.521,00 ","  4.407,00 ","  1.409,00 ",  -   ,  -   ,"  3.178,00 ","  4.587,00 ","  -180,00 ",SOBRANTE
004-000-00348,Saborizante Granada,gr,"  984,00 ",  -   ,  -   ,"  984,00 ","  490,00 ",  -   ,  -   ,"  575,00 ","  1.065,00 ","  -81,00 ",SOBRANTE
004-000-00349,Saborizante Mora Azul,gr,"  2.643,00 ","  6.000,00 ","  522,00 ","  8.121,00 ","  2.124,00 ",  -   ,  -   ,"  6.325,00 ","  8.449,00 ","  -328,00 ",SOBRANTE
004-000-00350,Saborizante Mora Azul Polvo,gr,  -   ,  -   ,"  19,00 ","  -19,00 ",  -   ,  -   ,  -   ,"  972,00 ","  972,00 ","  -991,00 ",SOBRANTE
004-000-00351,Saborizante Naranja Portugal,gr,  -   ,  -   ,"  131,00 ","  -131,00 ","  2.054,00 ",  -   ,  -   ,  -   ,"  2.054,00 ","  -2.185,00 ",SOBRANTE
004-000-00352,Saborizante Naranjilla,gr,"  1.355,00 ",  -   ,  -   ,"  1.355,00 ","  1.395,00 ",  -   ,  -   ,  -   ,"  1.395,00 ","  -40,00 ",SOBRANTE
004-000-00353,Saborizante Pina,gr,"  6.678,00 ",  -   ,"  763,00 ","  5.915,00 ","  2.693,00 ",  -   ,  -   ,"  3.179,00 ","  5.872,00 ","  43,00 ",FALTANTE
004-000-00354,Saborizante Pina Colada,gr,"  83,00 ",  -   ,"  53,00 ","  30,00 ","  645,00 ",  -   ,  -   ,  -   ,"  645,00 ","  -615,00 ",SOBRANTE
004-000-00355,Saborizante Vainilla Francesa,gr,"  366,00 ","  1.000,00 ","  66,00 ","  1.300,00 ","  190,00 ",  -   ,  -   ,"  1.113,00 ","  1.303,00 ","  -3,00 ",SOBRANTE
004-000-00356,Saborizante Sandia Florarom,gr,"  68,00 ",  -   ,"  68,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00357,Saborizante Mantecado,gr,"  784,00 ",  -   ,  -   ,"  784,00 ","  785,00 ",  -   ,  -   ,  -   ,"  785,00 ","  -1,00 ",SOBRANTE
004-000-00358,Saborizante Maracuya,gr,"  686,50 ",  -   ,  -   ,"  686,50 ",  -   ,  -   ,"  665,00 ",  -   ,"  665,00 ","  21,50 ",FALTANTE
004-000-00359,Saborizante Crema De Leche,gr,"  113,00 ",  -   ,"  4,00 ","  109,00 ","  105,00 ",  -   ,  -   ,  -   ,"  105,00 ","  4,00 ",FALTANTE
004-000-00360,Saborizante Miel,gr,"  1.272,00 ",  -   ,"  8,00 ","  1.264,00 ","  257,00 ",  -   ,  -   ,"  1.090,00 ","  1.347,00 ","  -83,00 ",SOBRANTE
004-000-00361,Saborizante Leche Condesada,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00362,Saborizante Manzana Verde,gr,"  3.837,00 ",  -   ,"  339,00 ","  3.498,00 ","  434,00 ",  -   ,"  409,00 ","  3.164,00 ","  4.007,00 ","  -509,00 ",SOBRANTE
004-000-00363,Saborizante Manzana Verde Polvo Magic,gr,"  633,00 ",  -   ,"  40,00 ","  593,00 ","  638,00 ",  -   ,  -   ,  -   ,"  638,00 ","  -45,00 ",SOBRANTE
004-000-00364,Saborizante Manzana Verde Polvo Florarom,gr,"  2.359,00 ",  -   ,  -   ,"  2.359,00 ",  -   ,"  2.297,50 ",  -   ,  -   ,"  2.297,50 ","  61,50 ",FALTANTE
004-000-00365,Saborizante Manzanilla,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00366,Saborizante Canela,gr,"  1.669,00 ",  -   ,"  550,00 ","  1.119,00 ","  772,00 ",  -   ,  -   ,  -   ,"  772,00 ","  347,00 ",FALTANTE
004-000-00367,Saborizante Hierbaluisa,gr,"  166,00 ",  -   ,  -   ,"  166,00 ","  169,00 ",  -   ,  -   ,  -   ,"  169,00 ","  -3,00 ",SOBRANTE
004-000-00368,Saborizante Jazmin,gr,"  1.945,00 ",  -   ,"  18,00 ","  1.927,00 ","  1.929,00 ",  -   ,  -   ,  -   ,"  1.929,00 ","  -2,00 ",SOBRANTE
004-000-00369,Saborizante Menta En Polvo,gr,"  1.042,00 ",  -   ,"  13,00 ","  1.029,00 ","  732,00 ",  -   ,  -   ,"  178,00 ","  910,00 ","  119,00 ",FALTANTE
004-000-00370,Saborizante Menta,gr,"  6.299,00 ",  -   ,"  201,00 ","  6.098,00 ","  2.157,00 ",  -   ,  -   ,"  6.299,00 ","  8.456,00 ","  -2.358,00 ",SOBRANTE
004-000-00371,Saborizante Frambuesa,gr,"  4.769,00 ",  -   ,  -   ,"  4.769,00 ","  4.776,00 ",  -   ,  -   ,  -   ,"  4.776,00 ","  -7,00 ",SOBRANTE
004-000-00372,Saborizante Chocolate,gr,"  3.621,00 ",  -   ,  -   ,"  3.621,00 ","  467,00 ",  -   ,  -   ,"  3.156,00 ","  3.623,00 ","  -2,00 ",SOBRANTE
004-000-00373,Saborizante Cola Champagne,gr,"  155,00 ",  -   ,  -   ,"  155,00 ","  155,00 ",  -   ,  -   ,  -   ,"  155,00 ",  -   ,SIN DIFERENCIA
004-000-00374,Saborizante Cereza,gr,"  4.328,00 ","  15.000,00 ","  17.249,00 ","  2.079,00 ","  723,00 ",  -   ,"  2.484,00 ","  3.154,00 ","  6.361,00 ","  -4.282,00 ",SOBRANTE
004-000-00375,Saborizante Cereza En Polvo,gr,"  6.016,00 ","  6.000,00 ","  6.203,50 ","  5.812,50 ",  -   ,"  6.127,00 ",  -   ,  -   ,"  6.127,00 ","  -314,50 ",SOBRANTE
004-000-00376,Saborizante Banano,gr,"  2.272,00 ",  -   ,  -   ,"  2.272,00 ","  2.273,00 ",  -   ,  -   ,  -   ,"  2.273,00 ","  -1,00 ",SOBRANTE
004-000-00377,Saborizante Mango,gr,"  4.047,50 ",  -   ,"  562,00 ","  3.485,50 ","  759,00 ",  -   ,"  613,00 ","  3.173,00 ","  4.545,00 ","  -1.059,50 ",SOBRANTE
004-000-00378,Saborizante Sandia Magic Flavors,gr,"  3.051,50 ",  -   ,"  97,00 ","  2.954,50 ","  4.758,00 ",  -   ,"  1.057,00 ","  3.166,00 ","  8.981,00 ","  -6.026,50 ",SOBRANTE
004-000-00379,Saborizante Pumpkin Spice Polvo,gr,"  7.215,00 ",  -   ,  -   ,"  7.215,00 ",  -   ,"  7.121,00 ",  -   ,  -   ,"  7.121,00 ","  94,00 ",FALTANTE
004-000-00380,Saborizante Limon En Polvo Florarom,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00381,Saborizante Maracumango,gr,"  1.012,00 ",  -   ,  -   ,"  1.012,00 ","  1.010,00 ",  -   ,  -   ,  -   ,"  1.010,00 ","  2,00 ",FALTANTE
004-000-00382,Saborizante Chicle,gr,"  1.965,00 ",  -   ,  -   ,"  1.965,00 ",  -   ,  -   ,"  1.963,00 ",  -   ,"  1.963,00 ","  2,00 ",FALTANTE
004-000-00383,Saborizante Mango Viche,gr,"  479,00 ",  -   ,  -   ,"  479,00 ","  41,00 ",  -   ,  -   ,  -   ,"  41,00 ","  438,00 ",FALTANTE
004-000-00384,Saborizante Fresa Acida Polvo,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00385,Sanborizante Chicle Polvo,gr,"  392,00 ",  -   ,  -   ,"  392,00 ",  -   ,  -   ,  -   ,"  393,00 ","  393,00 ","  -1,00 ",SOBRANTE
004-000-00386,Saborizante Algodon De Azucar En Polvo,gr,"  1.000,00 ",  -   ,"  23,34 ","  976,66 ",  -   ,  -   ,  -   ,"  988,00 ","  988,00 ","  -11,34 ",SOBRANTE
004-000-00387,Saborizante Tamarindo El Polvo,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00388,Saborizante Fresa Natural En Polvo,gr,"  4.872,00 ",  -   ,"  2.416,06 ","  2.455,94 ",  -   ,"  8.470,00 ",  -   ,  -   ,"  8.470,00 ","  -6.014,06 ",SOBRANTE
004-000-00389,Saborizante Sandia En Polvo,gr,"  996,00 ",  -   ,  -   ,"  996,00 ",  -   ,  -   ,  -   ,"  998,00 ","  998,00 ","  -2,00 ",SOBRANTE
004-000-00390,Saborizante Oreo,gr,"  7.849,00 ",  -   ,  -   ,"  7.849,00 ",  -   ,  -   ,"  1.529,00 ","  6.320,00 ","  7.849,00 ",  -   ,SIN DIFERENCIA
004-000-00391,Saborizante Caramelo,gr,"  6.625,00 ",  -   ,  -   ,"  6.625,00 ","  2.307,00 ",  -   ,"  1.163,00 ","  3.473,00 ","  6.943,00 ","  -318,00 ",SOBRANTE
004-000-00392,Saborizante Mora Polvo,gr,"  351,00 ",  -   ,"  19,00 ","  332,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  332,00 ",FALTANTE
004-000-00393,Saborizante Chai Polvo Florarom,gr,"  958,00 ",  -   ,  -   ,"  958,00 ",  -   ,"  941,00 ",  -   ,  -   ,"  941,00 ","  17,00 ",FALTANTE
004-000-00394,Colorante Cafe Chocolate,gr,"  584,00 ",  -   ,"  48,00 ","  536,00 ","  830,00 ",  -   ,  -   ,  -   ,"  830,00 ","  -294,00 ",SOBRANTE
004-000-00395,Colorante Rojo Florarom,gr,"  900,00 ",  -   ,"  91,00 ","  809,00 ","  524,00 ",  -   ,  -   ,  -   ,"  524,00 ","  285,00 ",FALTANTE
004-000-00396,Colorante Mora Polvo,gr,"  504,00 ",  -   ,  -   ,"  504,00 ","  489,00 ",  -   ,  -   ,  -   ,"  489,00 ","  15,00 ",FALTANTE
004-000-00398,Gluconolactato Top Trading,gr,"  19.257,00 ","  40.000,00 ","  31.840,00 ","  27.417,00 ",  -   ,  -   ,"  29.341,00 ",  -   ,"  29.341,00 ","  -1.924,00 ",SOBRANTE
004-000-00399,Alginato Japones,gr,"  102.746,10 ",  -   ,"  9.345,00 ","  93.401,10 ",  -   ,  -   ,"  92.525,00 ",  -   ,"  92.525,00 ","  876,10 ",FALTANTE
004-000-00400,Benzoato,gr,"  20.923,00 ",  -   ,"  1.700,80 ","  19.222,20 ","  908,00 ",  -   ,"  18.662,00 ",  -   ,"  19.570,00 ","  -347,80 ",SOBRANTE
004-000-00401,Azucar,gr,"  676.041,00 ","  1.500.000,00 ","  794.396,00 ","  1.381.645,00 ","  39.737,00 ",  -   ,"  1.310.838,00 ",  -   ,"  1.350.575,00 ","  31.070,00 ",FALTANTE
004-000-00402,Alginato,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
004-000-00403,Acido Citrico,gr,"  34.618,50 ","  25.000,00 ","  33.280,50 ","  26.338,00 ","  3.542,00 ","  25.000,00 ","  937,00 ",  -   ,"  29.479,00 ","  -3.141,00 ",SOBRANTE
004-000-00404,Goma Xhantan,gr,"  14.757,50 ",  -   ,"  2.169,00 ","  12.588,50 ","  1.227,00 ",  -   ,"  11.625,00 ",  -   ,"  12.852,00 ","  -263,50 ",SOBRANTE
