Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
001-001-00074,"Matcha Yabukita 1,0 Importado",gr,  -   ,"  200,00 ","  200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00075,"Matcha Samidori 2,0 Importado",gr,  -   ,"  200,00 ","  200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00076,"Matcha Samidori 3,0 Importado",gr,  -   ,"  200,00 ","  200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00077,"Matcha Okumidori 2,0 Importado",gr,  -   ,"  200,00 ","  200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00078,"Matcha Okumidori 3,0 Importado",gr,  -   ,"  200,00 ","  200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00079,"Matcha Yabukita 2,0 Importado",gr,  -   ,"  200,00 ","  200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00080,Cascara De Limon Arbori,gr,  -   ,"  3.500,00 ","  458,00 ","  3.042,00 ",  -   ,"  3.500,00 ",  -   ,  -   ,"  3.500,00 ","  -458,00 ",SOBRANTE
001-002-00002,Insumo De Maridaje,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00001,Latas Xl (Grande),uni,"  671,00 ","  2.688,00 ","  1.658,00 ","  1.701,00 ",  -   ,  -   ,"  2.162,00 ",  -   ,"  2.162,00 ","  -461,00 ",SOBRANTE
001-003-00003,Fundas Metalizadas,uni,"  15.460,00 ",  -   ,"  6.010,00 ","  9.450,00 ",  -   ,"  12.427,00 ",  -   ,  -   ,"  12.427,00 ","  -2.977,00 ",SOBRANTE
001-003-00024,Cofre Sin Tapa Por 9,uni,"  12,00 ",  -   ,  -   ,"  12,00 ",  -   ,  -   ,"  10,00 ",  -   ,"  10,00 ","  2,00 ",FALTANTE
001-003-00025,Liner De Aluminio Tapa 120mm,uni,"  757,00 ","  1.000,00 ","  100,00 ","  1.657,00 ",  -   ,  -   ,"  996,00 ",  -   ,"  996,00 ","  661,00 ",FALTANTE
001-003-00030,Etiquetas Bubble Tea Sabores,uni,"  2.084,00 ",  -   ,  -   ,"  2.084,00 ",  -   ,"  2.273,00 ",  -   ,  -   ,"  2.273,00 ","  -189,00 ",SOBRANTE
001-003-00031,Sorbetes Papel Pequeño,uni,"  1.500,00 ",  -   ,"  100,00 ","  1.400,00 ",  -   ,  -   ,"  750,00 ",  -   ,"  750,00 ","  650,00 ",FALTANTE
001-003-00032,Sorbetes Papel Grande,uni,"  2.025,00 ",  -   ,"  25,00 ","  2.000,00 ",  -   ,  -   ,"  2.064,00 ",  -   ,"  2.064,00 ","  -64,00 ",SOBRANTE
001-003-00033,Tea Collection Caja Amarilla,uni,"  3.316,00 ",  -   ,"  157,00 ","  3.159,00 ",  -   ,  -   ,"  4.448,00 ",  -   ,"  4.448,00 ","  -1.289,00 ",SOBRANTE
001-003-00034,Tapa Lata Pequeña,uni,"  19.954,00 ",  -   ,"  166,00 ","  19.788,00 ",  -   ,  -   ,"  13.080,00 ",  -   ,"  13.080,00 ","  6.708,00 ",FALTANTE
001-003-00035,Vaso Degustación,uni,"  35,00 ","  1.000,00 ","  50,00 ","  985,00 ",  -   ,  -   ,"  937,00 ",  -   ,"  937,00 ","  48,00 ",FALTANTE
001-003-00037,Caja Madera 4 Latitas Vacia,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00050,Cofres 6 Espacios Con Tapa,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-003-00051,Divisiones De Carton,uni,"  4.264,00 ",  -   ,"  126,00 ","  4.138,00 ",  -   ,  -   ,"  3.300,00 ",  -   ,"  3.300,00 ","  838,00 ",FALTANTE
001-003-00052,Frascos Para Bubbletea,uni,"  893,00 ","  1.000,00 ","  640,00 ","  1.253,00 ",  -   ,  -   ,"  1.134,00 ",  -   ,"  1.134,00 ","  119,00 ",FALTANTE
001-003-00053,Funda Dorada 13x21,uni,"  44,00 ",  -   ,  -   ,"  44,00 ",  -   ,"  44,00 ",  -   ,  -   ,"  44,00 ",  -   ,SIN DIFERENCIA
001-003-00054,Funda Eco Food Tippytea (500),uni,"  15.500,00 ",  -   ,"  1.000,00 ","  14.500,00 ",  -   ,"  3.500,00 ","  10.000,00 ",  -   ,"  13.500,00 ","  1.000,00 ",FALTANTE
001-003-00056,Funda Mate,uni,"  47,00 ",  -   ,  -   ,"  47,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  47,00 ",FALTANTE
001-003-00057,Funda Tippytea Amarilla 50gr,uni,"  2.144,00 ",  -   ,"  666,00 ","  1.478,00 ",  -   ,"  1.506,00 ",  -   ,"  4,00 ","  1.510,00 ","  -32,00 ",SOBRANTE
001-003-00058,Funda Zipper Transparente Grande 9x13,uni,"  400,00 ","  100,00 ","  200,00 ","  300,00 ",  -   ,"  300,00 ",  -   ,  -   ,"  300,00 ",  -   ,SIN DIFERENCIA
001-003-00059,"Funda Zipper Transparente Mediana 8x9,5",uni,"  200,00 ","  300,00 ","  300,00 ","  200,00 ",  -   ,"  300,00 ",  -   ,  -   ,"  300,00 ","  -100,00 ",SOBRANTE
